SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
600728.SH,600728,佳都科技,10004038,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-11 00:00:00,2025-04-11 00:00:00,CNY,7948583564.39,27.6363086597,7948583564.39,27.6363086597,,,,,,,,,,,7787676034.95,25.5185635715,7065398287.34,29.8653499436,,,,,256447502.49,-3.6104847448,,,,,,,,,,,,,19380228.13,15.4268626768,227996386.16,-2.1719038241,265172370.48,0.1442018826,,,-46718739.65,-177.3086329509,10840649.59,-34.3811472638,77829221.92,46.6563286143,,,,,,,-228869653.85,-141.5167539408,-14278444.86,88.4357413771,5541599.04,-82.1945241823,,,,,1034930.6,-41.2796557765,-53781154.25,-91.5483973212,-93210332.97,-362.132164606,100296351.76,144.8958312696,,,0.0,,-127900774.13,-128.7163083453,173812.12,-91.6102956948,,,7705774.78,348.0033191586,,,,,0.0,,-135432736.79,-130.3833939602,-17193739.57,-133.8175555489,,,,,,,-118238997.22,-129.941255667,,,-118238997.22,-129.941255667,,,-114877803.69,-129.1023153011,-3361193.53,-2129.8253798472,23512493.45,170.0645302952,,,,,-0.0538,-127.2819472617,-0.0538,-127.5473630312,-6897024.23,-162.8797331649,-6898979.32,-162.9136356647,1955.09,-30.252826325,,,,,-7151929.61,-166.2017937192,,,-7151929.61,-166.2017937192,,,,,,,,,252950.29,55.5974767095,,,,,,,,,,,,,,,252950.29,55.5974767095,,,,,,,,,-125136021.45,-130.8314106672,-121776783.01,-130.0162043368,-3359238.44,-2094.8754758129,,,,,,,,,,,标准无保留意见
600728.SH,600728,佳都科技,10004038,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-09 00:00:00,2025-04-11 00:00:00,CNY,6227525418.01,16.6993627192,6227525418.01,16.6993627192,,,,,,,,,,,6204401813.85,14.5236229766,5440556923.31,16.4068160836,,,,,266053316.91,12.6270631345,,,,,,,,,,,,,16790050.15,8.2135783193,233058185.81,21.8052331852,264790537.54,-11.8941933944,,,-16847199.87,-7932.7923794395,16520632.62,25.7869349989,53069119.25,30.8864036828,,,,,,,551270588.68,278.5417649048,-123470473.34,-2098.2306904355,31123004.5,522.5284087577,,,,,1762473.66,-39.7053620253,-28077057.81,-352.5352083922,-20169626.81,45.2959506832,40954699.49,-29.228497176,,,0.0,,445394208.03,227.7172389834,2071731.18,112.7064246435,,,1720026.27,-43.2198473762,,,,,0.0,,445745912.94,227.0692010252,50842644.57,164.0479682665,,,,,,,394903268.37,245.5018355798,,,394903268.37,245.5018355798,,,394737678.09,250.7848449313,165590.28,101.7214805656,-33558340.22,16.879144225,,,,,0.1972,229.9934080422,0.1953,228.740936058,10968596.53,216.2664640453,10965793.42,216.2367512477,2803.11,,,,,,10803226.33,203.8562600985,,,10803226.33,203.8562600985,,,,,,,,,162567.09,-83.2072454518,,,,,,,,,,,,,,,162567.09,-83.2072454518,,,,,,,,,405871864.9,244.5197631737,405703471.51,249.583148883,168393.39,101.7506217652,,,,,,,,,,,标准无保留意见
600728.SH,600728,佳都科技,10004038,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-29 00:00:00,2024-04-09 00:00:00,CNY,5336383398.25,-14.2578194629,5336383398.25,-14.2578194629,,,,,,,,,,,5417573818.04,-7.6126228806,4673744292.95,-9.8767750913,,,,,236225032.87,7.4370782888,,,,,,,,,,,,,15515659.32,-12.5258621746,191336759.28,-1.2254506364,300536988.13,18.0653639569,,,215085.49,102.7417374078,13133822.38,36.8335811044,40545937.36,-1.9552183625,,,,,,,-308762820.27,,6178989.94,372.047494859,4999451.28,283.9643077431,,,,,2923101.82,34415.7149464797,11118076.56,11.2069627354,-36870445.72,43.1146481934,57868913.13,7.2603206957,,,0.0,,-348734604.33,-197.7852124732,973986.18,-34.9125496934,,,3029273.77,-46.0344468424,,,,,0.0,,-350789891.92,-199.5102463666,-79382134.9,-273.0032093658,,,,,,,-271407757.02,-188.5126571352,,,-271407757.02,-188.5126571352,,,-261788695.19,-183.2950516777,-9619061.83,-25.587755207,-40372948.41,-113.7055311171,,,,,-0.1517,-183.4892680242,-0.1517,-183.5352422907,-9434015.75,-115.4186669827,-9434015.75,-115.4186669827,,,,,,,-10402094.51,-116.9081599923,,,-10402094.51,-116.9081599923,,,,,,,,,968078.76,388.5709362182,,,,,,,,,,,,,,,968078.76,388.5709362182,,,,,,,,,-280841772.77,-176.3536156431,-271222710.94,-172.2342725101,-9619061.83,-25.587755207,,,,,,,,,,,标准无保留意见
600728.SH,600728,佳都科技,10004038,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-03-19 00:00:00,2023-04-29 00:00:00,CNY,6223755174.9,45.1948272967,6223755174.9,45.1948272967,,,,,,,,,,,5863976212.94,42.3262617152,5185948791.43,43.8563194241,,,,,219872912.25,27.6107505632,,,,,,,,,,,,,17737424.69,6.5496835619,193710586.9,16.2310119389,254551358.72,41.8128242799,,,-7844861.05,60.6987599985,9598391.18,-15.3826216603,41354508.3,-20.4006402766,,,,,,,0.0,100.0,-2271290.88,-101.4073579607,-2717620.25,72.710151957,,,,,-8518.26,-100.3134896227,9997644.29,129.2523540102,-64815360.28,38.3463457932,53951836.76,0.8041131365,,,0.0,,356633273.59,352.628510331,1496427.0,-37.7600239273,,,5613347.02,-40.1346603614,,,,,0.0,,352516353.57,390.8381218915,45884775.89,678.784673649,,,,,,,306631577.68,284.5052317425,,,306631577.68,284.5052317425,,,314290813.1,242.2737673864,-7659235.42,36.5817926122,294574125.33,278.0444356493,,,,,0.1817,238.9925373134,0.1816,238.8059701493,61185676.82,504.7024379149,61185676.82,506.6643479955,,,,,,,61521150.23,531.9448959691,,,61521150.23,531.9448959691,,,,,,,,,-335473.41,58.218340907,,,,,,,,,,,,,,,-335473.41,58.218340907,,,,,,,,,367817254.5,469.1266413138,375476489.92,389.037628924,-7659235.42,36.9624940459,,,,,,,,,,,标准无保留意见
600728.SH,600728,佳都科技,10004038,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-30 00:00:00,2022-05-12 00:00:00,CNY,4286485469.75,-14.4730067878,4286485469.75,-14.4730067878,,,,,,,,,,,4120094311.67,-14.7008332127,3604950281.08,-16.8535441424,,,,,172299677.95,11.0276463426,,,,,,,,,,,,,16647092.79,18.8046730882,166659984.86,-6.6493780687,179498123.68,47.5034295465,,,-19960848.69,-179.5702181066,11343285.94,-69.1579335799,51953317.77,103.1684219399,,,,,,,-165919714.92,-125.288810286,161386864.14,1944.5299947046,-9958356.11,30.6756504906,,,,,2717238.27,763948.500267056,-34177229.93,-49.6499236227,-105128173.04,-4.3058054796,53521463.64,-31.960653392,,,0.0,,78791606.24,-89.9509090786,2404285.95,-25.7236892179,,,9376622.69,130.7006159937,,,,,0.0,,71819269.5,-90.8304847192,-7927780.05,-107.7506636014,,,,,,,79747049.55,-88.2889289304,,,79747049.55,-88.2889289304,,,91824394.11,-86.5053322929,-12077344.56,-2492.0268100587,77920502.87,-7.7946205309,,,,,0.0536,-87.2411330636,0.0536,-87.0092098885,-15118682.54,-660.0498776766,-15045744.02,-654.5176863082,-72938.52,-429.3639665218,,,,,-14242823.75,-685.5086621658,,,-14242823.75,-685.5086621658,,,,,,,,,-802920.27,-385.994023378,,,,,,,,,,,,,,,-802920.27,-385.994023378,,,,,,,,,64628367.01,-90.5466248212,76778650.09,-88.7612947023,-12150283.08,-2573.987055709,,,,,,,,,,,标准无保留意见
600728.SH,600728,佳都科技,10004038,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-04-10 00:00:00,2021-04-30 00:00:00,CNY,5011851006.05,7.087465339,5011851006.05,7.087465339,,,,,,,,,,,4830169469.23,8.8696729619,4335663190.81,8.7597978437,,,,,155186283.44,14.7994717986,,,,,,,,,,,,,14012153.19,-9.6571021025,178531199.27,0.966640819,121690813.72,3.0145991127,,,25085828.8,450.9275042911,36778618.48,544.1454995374,25571551.56,172.2935580308,,,,,,,656099330.27,,-8749484.4,-155.5371442423,-14364874.94,-534.1422173916,,,,,-355.73,99.9290947644,-22838120.53,59.4746671405,-100788419.74,,78662518.54,12.9526496513,,,0.0,,784067005.23,188.2241322065,3236948.53,-63.9955813189,,,4064411.64,294.6028994453,,,,,0.0,,783239542.12,179.7342014251,102285177.86,469.7037246965,,,,,,,680954364.26,159.8664717305,,,680954364.26,159.8664717305,,,680449464.21,159.5842648667,504900.05,658.6822072294,84507545.35,-59.9055105646,,,,,0.4201,156.9418960245,0.4126,153.1288343558,2699524.3,412.9616030937,2713302.82,415.5797872335,-13778.52,,,,,,2432555.6,,,,2432555.6,,,,,,,,,,280747.22,-46.6526217099,,,,,,,,,,,,,,,280747.22,-46.6526217099,,,,,,,,,683653888.56,160.3737509657,683162767.03,160.0971808214,491121.53,643.4359937145,,,,,,,,,,,标准无保留意见
600728.SH,600728,佳都科技,10004038,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2019-04-12 00:00:00,2020-04-10 00:00:00,CNY,4680147195.74,8.5388346411,4680147195.74,8.5388346411,,,,,,,,,,,4436652869.27,6.7878358102,3986457566.83,7.0360422698,,,,,135180311.38,56.0855297896,,,,,,,,,,,,,15509966.49,3.7085013213,176821965.97,-2.8839164798,118129677.51,-4.3613146154,,,4553381.09,314.6679012865,5709675.61,101.1717213229,9391170.23,-13.8101160297,,,,,,,,,15754292.95,-41.826686335,3308794.76,32.4959566005,,,,,-501697.79,,-56355170.75,,,,69642030.34,120.6362097621,,,0.0,,272033781.22,24.4795781602,8990420.2,-48.9458199527,,,1030000.45,72.5211873513,,,,,0.0,,279994200.97,18.8685614846,17954100.25,-10.1577341406,,,,,,,262040100.72,21.5594489042,,,262040100.72,21.5594489042,,,262130474.11,23.3549837716,-90373.39,-102.9490693294,210770972.62,15.7770866411,,,,,0.1635,22.5637181409,0.163,22.6486079759,526262.45,,526262.45,,,,,,,,,,,,,,,,,,,,,,526262.45,,,,,,,,,,,,,,,,526262.45,,,,,,,,,,262566363.17,21.8035801392,262656736.56,23.6026356183,-90373.39,-102.9490693294,,,,,,,,,,,标准无保留意见
600728.SH,600728,佳都科技,10004038,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2018-03-17 00:00:00,2019-04-12 00:00:00,CNY,4311956371.39,51.3926031729,4311956371.39,51.3926031729,,,,,,,,,,,4154642554.19,50.7449158378,3724406734.68,56.2933639768,,,,,86606562.16,,,,,,,,,,,,,,14955347.24,55.1766312636,182072793.26,6.6094082789,123516626.18,-23.2959212984,,,-2121128.06,-124.6418709944,2838209.85,,10895907.73,,25205618.73,9.3265827472,,,,,2577220.07,200.0,27081649.57,16.259812053,2497279.8,,,,,,,,,,,,31564189.04,,,,0.0,,218536875.88,93.6748520667,17609567.31,-54.580288374,,,597028.38,-59.6324831987,,,,,0.0,,235549414.81,56.8982524375,19984024.31,-21.3916889173,,,,,,,215565390.5,72.8581976778,,,215565390.5,72.8581976778,,,212500918.97,96.8807938912,3064471.53,-81.7293989671,182048951.77,195.2917810266,,,,,0.1334,87.0967741935,0.1329,87.7118644068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215565390.5,72.8581976778,212500918.97,96.8807938912,3064471.53,-81.7293989671,,,,,,,,,,,标准无保留意见
600728.SH,600728,佳都科技,10004038,通用,2016-12-31 00:00:00,年报,2016年报,058001001,2017-04-28 00:00:00,2018-06-13 00:00:00,CNY,2848194879.42,6.7872950072,2848194879.42,6.7872950072,,,,,,,,,,,2756074744.61,8.5524068004,2382958968.9,10.0827235743,,,,,,,,,,,0.0,,,,,,,,9637628.5,17.6268652873,170784920.58,-1.6520073324,161030062.9,0.3818840806,,,8607820.65,-55.5330280408,,,,,23055343.08,82.7760384584,,,0.0,,-2577220.07,,23294076.51,830.8632544672,,,,,,,,,,,,,,,,,0.0,,112836991.25,-13.6897174322,38770759.83,-33.7115416873,,,1478982.18,217.3898446001,,,0.0,,0.0,,150128768.9,-20.4641454808,25422279.19,99.2175552751,,,,,,,124706489.71,-29.1420373828,,,124706489.71,,,,107933798.3,-36.6379866887,16772691.41,196.8419169665,61650531.26,-52.3799291878,,,,,0.0713,-45.6140350877,0.0708,-45.4545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124706489.71,-29.4743748889,107933798.3,-36.944976531,16772691.41,196.8419169665,,,,,,,,,,,标准无保留意见
600728.SH,600728,佳都科技,10004038,通用,2015-12-31 00:00:00,年报,2015年报,058001001,2016-03-22 00:00:00,2017-04-28 00:00:00,CNY,2667166425.77,17.7658599144,2667166425.77,17.7658599144,,,,,,,,,,,2538934719.04,17.4566089828,2164698411.82,17.0120001942,,,,,,,,,,,,,,,,,,,8193390.58,47.0100289774,173653692.31,8.4072317832,160417454.18,28.0371305009,,,19357784.6,40.6104806105,,,,,12613985.55,85.5717817101,,,,,,,2502416.59,-1.8684574373,,,,,,,,,,,,,,,,,0.0,,130734123.32,23.6130773309,58487949.21,90.2045013335,258.28,-99.8156886706,465982.83,-87.6196550956,124439.15,32.3105985937,,,0.0,,188756089.7,42.1924689167,12761063.73,19.4660979553,,,,,,,175995025.97,44.1812207572,,,,,,,170344647.62,48.356131324,5650378.35,-21.9960815637,129463333.86,42.2084969461,,,,,0.1311,-42.9503916449,0.1298,-43.5161009574,829340.37,729.1184150003,829340.37,729.1184150003,,,,,,,,,,,,,,,,,,,,,829340.37,729.1184150003,,,,,,,,,,,,,,,829340.37,729.1184150003,,,,,,,,,176824366.34,44.7420356801,171173987.99,48.9486616298,5650378.35,-21.9960815637,,,,,,,,,,,标准无保留意见
