SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004001002,物业厂房及设备,173928514.92,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004001003,投资物业,4896589349.56,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004001009,递延税项资产,13691112.68,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004001031,其他金融资产(非流动),44947664.64,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004001997,非流动资产其他项目,867046.0,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004001999,非流动资产合计,5130023687.8,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004002002,发展中及待售物业,2719897746.96,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004002003,应收帐款,19252984.6,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004002010,现金及等价物,804793922.56,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004002013,指定以公允价值记账之金融资产(流动),52219898.88,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004002022,其他金融资产(流动),573163.04,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004002999,流动资产合计,3596737716.04,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004009999,总资产,8726761403.84,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004011003,应付税项,196677976.6,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004011005,应付关联方款项(流动),223273471.8,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004011006,融资租赁负债(流动),1177357.2,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004011008,其他应付款及应计费用,133335246.56,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004011010,短期贷款,1225843325.0,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004011024,合同负债,11668613.8,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004011999,流动负债合计,1791975990.96,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004013999,净流动资产,1804761725.08,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004015999,总资产减流动负债,6934785412.88,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004020001,长期贷款,,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004020003,递延税项负债,643371861.68,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004020005,融资租赁负债(非流动),679033.92,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004020999,非流动负债合计,644050895.6,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004025999,总负债,2436026886.56,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004027999,少数股东权益,190045531.04,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004028999,净资产,6290734517.28,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004030001,股本,2253393229.8,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004030002,储备,3847295756.44,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004030999,股东权益,6100688986.24,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004036999,总权益,6290734517.28,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004037999,总权益及非流动负债,6934785412.88,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004039999,总权益及总负债,8726761403.84,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,004060999,非运算项目,6934787238.24,2023-12-31 00:00:00
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,004001002,物业厂房及设备,40788395.2,2022-12-31 00:00:00
