SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,001001,除税前溢利(业务利润),-122771888.24
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,001002,减:利息收入,14446811.72
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,001003,加:利息支出,49130477.08
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,001004,减:投资收益,4038609.0
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,001007,减:重估盈余,-139681110.6
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,001008,减:出售资产之溢利,-5429533.32
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,001009,加:折旧及摊销,3459057.2
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,001010,减:汇兑收益,-21677062.68
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,001999,营运资金变动前经营溢利,78119931.92
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,002002,应收帐款减少,5158467.36
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,002006,营运资本变动其他项目,-117641713.96
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,002008,预收账款、按金及其他应付款增加(减少),-6795815.28
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,002011,发展中物业(增加)减少,8437726.6
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,002999,经营产生现金,-32721403.36
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,003002,已付利息(经营),36479819.6
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,003003,已付税项,-257810195.68
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,003999,经营业务现金净额,188608972.72
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,005001,已收利息(投资),14904064.4
