SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004001001,营业额,171622172.56
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004001999,营运收入,171622172.56
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004005003,其他成本,74151599.28
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004007999,毛利,97470573.28
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004010001,其他收入,20199433.76
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004010004,行政开支,51630307.6
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004010005,减值及拨备,4540583.0
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004010006,重估盈余,-135140527.6
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004010999,经营溢利,-73641411.16
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004011201,融资成本,49130477.08
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004011999,除税前溢利,-122771888.24
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004012001,税项,-278843818.96
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004012002,持续经营业务税后利润,156071930.72
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004012999,除税后溢利,156071930.72
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004025001,少数股东损益,-615146.32
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004025002,股东应占溢利,156687077.04
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004027002,每股基本盈利,0.2372968
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004027003,每股摊薄盈利,0.2372968
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004030997,其他全面收益其他项目,-24280026.04
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004030999,其他全面收益,-24280026.04
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004039999,全面收益总额,131791904.68
00131.HK,00131,卓能(集团),10007411,2024-06-30 00:00:00,001,6-30,2023-07-01 00:00:00,004040001,非控股权益应占全面收益总额,-615146.32
